"xName","yName","x","y","corr"
"plate.appearances","at.bats",2,73,1
"wOBA","OPS",29,51,0.995543819598929
"wRuns.created.plus","wOBA",30,42,0.991292828786227
"Batting.wOBA","wRuns.AboveAvg",74,43,0.989093946730634
"hit.batted.ball","at.bats",42,73,0.984675824605755
"wRuns.created.plus","OPS",30,51,0.983123944254425
"hits","at.bats",3,73,0.979707513689265
"hit.batted.ball","hits",42,71,0.979654596056229
"hit.batted.ball","plate.appearances",42,72,0.978627841982767
"hits","plate.appearances",3,72,0.974954168758303
"singles","hits",4,71,0.971312775907559
"plate.appearances","Games.played",2,74,0.962972521744056
"at.bats","Games.played",1,74,0.962443770871344
"OPS","slugging.perc",21,52,0.962303655697156
"hit.batted.ball","singles",42,70,0.962203699616237
"wRuns.created","runs.scored",27,66,0.961795865008848
"wRuns.created","hits",27,71,0.947902258842745
"bat.hardHit","hits",48,71,0.947429379033843
"bat.hardHit","at.bats",48,73,0.944917941616097
"bat.hardHit","plate.appearances",48,72,0.944281521775476
"runs.scored","plate.appearances",7,72,0.943039340469888
"bat.barrels","home.runs",46,67,0.941310244862306
"runs.scored","hits",7,71,0.938618308080031
"hit.batted.ball","Games.played",42,74,0.938147265185745
"singles","at.bats",4,73,0.937640529703687
"wRuns.created","plate.appearances",27,72,0.932963645656333
"GroundBall.perc","GroundBall.fly.ratio",31,40,0.932099594706159
"wRuns.created","runs.batted.in",27,65,0.931743624540849
"runs.scored","at.bats",7,73,0.931167594849796
"bat.hardHit","hit.batted.ball",48,29,0.928522519224771
"bat.hardHit","wRuns.created",48,44,0.928366100221891
"singles","plate.appearances",4,72,0.927067143622094
"bat.hardHit.perc","bat.exit.velocity",49,28,0.925075449197402
"doubles","hits",5,71,0.924995653111683
"x.wOBA","x.slugging.perc",52,21,0.924066106635396
"wOBA","slugging.perc",29,52,0.922932579760213
"hits","Games.played",3,74,0.919961980693364
"wRuns.created","at.bats",27,73,0.916385685899298
"total.contact.perc","out.Contact.perc",57,16,0.915434795871234
"bat.hardHit","runs.scored",48,66,0.914014048575501
"wRuns.created.plus","slugging.perc",30,52,0.911217335380988
"bat.hardHit","runs.batted.in",48,65,0.911111985834918
"launch.angle","Flyball.perc",45,38,0.91085517146452
"hit.batted.ball","runs.scored",42,66,0.909811402251694
"runs.batted.in","home.runs",8,67,0.907214713665984
"doubles","at.bats",5,73,0.905700326491045
"runs.batted.in","plate.appearances",8,72,0.904967256591162
"Isolated Power","slugging.perc",22,52,0.904845119507334
"runs.batted.in","runs.scored",8,66,0.901733444481671
"doubles","plate.appearances",5,72,0.901209958185067
"runs.batted.in","at.bats",8,73,0.897678270359598
"hit.batted.ball","doubles",42,69,0.896410285187937
"hit.batted.ball","wRuns.created",42,44,0.895976125520857
"runs.batted.in","hits",8,71,0.895171668412775
"Swing.perc","out.swing.perc",54,19,0.892161134941021
"wOBA","on.base.perc",29,53,0.891679287859757
"HomeRun.Flyball.ratio","Isolated Power",33,50,0.889232905931829
"wRuns.created","doubles",27,69,0.885506131275338
"wRuns.AboveAvg","OPS",28,51,0.884704272452646
"singles","Games.played",4,74,0.88425549487914
"Batting.wOBA","wRuns.created.plus",74,41,0.884084620464512
"wOBA","wRuns.AboveAvg",29,43,0.883920488086024
"bat.hardHit","doubles",48,69,0.883394631459729
"total.contact.perc","in.contact.perc",57,15,0.882164773460552
"wRuns.created.plus","on.base.perc",30,53,0.880976982801181
"runs.scored","Games.played",7,74,0.880320784278315
"bat.hardHit","singles",48,70,0.879577850262461
"bat.barrels","runs.batted.in",46,65,0.879246474047772
"bat.hardHit","Games.played",48,74,0.87750615319378
"ball.fastball.ratio","ball.fastball",64,12,0.876369067346931
"Batting.wOBA","wOBA",74,42,0.872333113776204
"Batting.wOBA","OPS",74,51,0.872070616157117
"wRuns.created.plus","wRuns.AboveAvg",30,43,0.871944029638699
"runs.scored","doubles",7,69,0.871603297318714
"wRuns.created","home.runs",27,67,0.866480915796123
"hit.batted.ball","runs.batted.in",42,65,0.863510457439145
"bat.barrels","wRuns.created",46,44,0.863196468390092
"runs.scored","singles",7,70,0.861056566150416
"bat.hardHit","bat.barrels",48,26,0.860982876448274
"wRuns.created","singles",27,70,0.860884285227661
"ball.sliders.ratio","ball.sliders",65,11,0.860509329701273
"wRuns.created","bases.on.balls",27,64,0.856116770314816
"wRuns.created","Games.played",27,74,0.854692187284608
"Base.Running","ultimate.base.running",75,47,0.852510846435434
"doubles","Games.played",5,74,0.851851959118823
"doubles","singles",5,70,0.847316304642475
"runs.batted.in","Games.played",8,74,0.841941162827302
"bat.hardHit.perc","hit.hardspeed.perc",49,30,0.841342435266731
"bat.barrel.perc","HomeRun.Flyball.ratio",47,36,0.840041001540405
"x.slugging.perc","slugging.perc",51,52,0.838659459296121
"ball.curves.ratio","ball.curves",67,9,0.837944660366484
"ball.cutters.ratio","ball.cutters",66,10,0.836473948097259
"OPS","on.base.perc",21,53,0.835707144724865
"runs.batted.in","doubles",8,69,0.834998775716469
"bat.barrel.perc","Isolated Power",47,50,0.833825596422863
"Wins.above.replacement","wRuns.created",76,44,0.833057424240891
"x.wOBA","wOBA",52,42,0.828224852446446
"x.wOBA","wRuns.created.plus",52,41,0.828082509142576
"runs.scored","home.runs",7,67,0.825986292119588
"bases.on.balls","runs.scored",9,66,0.825689122265084
"wRuns.AboveAvg","slugging.perc",28,52,0.825678716041466
"x.wOBA","OPS",52,51,0.825582223381378
"Wins.above.replacement","Batting.wOBA",76,1,0.825471386510587
"bat.exit.velocity","hit.hardspeed.perc",43,30,0.82378608757236
"stolenbase.stealing.ratio","stolen.base",26,59,0.823564520014748
"x.slugging.perc","bat.barrels",51,26,0.819434785870919
"strike.outs","plate.appearances",11,72,0.818024741476105
"bat.barrels","runs.scored",46,66,0.817576390625374
"x.slugging.perc","bat.barrel.perc",51,25,0.816475527555507
"ball.changeups.ratio","ball.changeups",68,8,0.816421034744467
"x.slugging.perc","Isolated Power",51,50,0.815472017872078
"bases.on.balls","plate.appearances",9,72,0.813024371135142
"Batting.wOBA","slugging.perc",74,52,0.812149319032307
"bat.hardHit","home.runs",48,67,0.812136152449662
"strike.outs","at.bats",11,73,0.811261777944461
"Wins.above.replacement","wRuns.AboveAvg",76,43,0.810761137972009
"Wins.above.replacement","runs.scored",76,66,0.810216477599612
"ball.fastball","wRuns.AboveAvg",62,43,0.804205521158154
"strike.outs","Games.played",11,74,0.802045541677293
"bat.barrels","strike.outs",46,62,0.797692509126309
"Isolated Power","home.runs",22,67,0.795415679077549
"Batting.wOBA","ball.fastball",74,12,0.794425764252167
"Isolated Power","OPS",22,51,0.79406323568783
"x.wOBA","wRuns.AboveAvg",52,43,0.792284426608908
"wOBA","batting.average",29,57,0.791606529996944
"Batting.wOBA","x.wOBA",74,20,0.79128097603402
"runs.batted.in","singles",8,70,0.788854649937607
"OPS","batting.average",21,57,0.785194925024274
"x.slugging.perc","OPS",51,51,0.784392425087853
"bat.barrels","plate.appearances",46,72,0.783905383261901
"wRuns.AboveAvg","on.base.perc",28,53,0.782040283734195
"on.balls.in.play","batting.average",24,57,0.781195605197865
"strike.outs","runs.batted.in",11,65,0.7806414233483
"slugging.perc","home.runs",20,67,0.7795543949622
"on.base.perc","batting.average",19,57,0.77950267148374
"wRuns.AboveAvg","wRuns.created",28,44,0.77889581147753
"x.batting.average","batting.average",50,57,0.778292022415939
"Swing.perc","in.swing.perc",54,18,0.776477760630246
"x.wOBA","slugging.perc",52,52,0.776137474363675
"Batting.wOBA","on.base.perc",74,53,0.774307117939608
"Batting.wOBA","wRuns.created",74,44,0.773544539149825
"bat.barrels","at.bats",46,73,0.770916073319432
"hit.infield","singles",34,70,0.770803060019437
"home.runs","plate.appearances",6,72,0.770469516188412
"x.slugging.perc","home.runs",51,67,0.769786111585846
"wRuns.created.plus","batting.average",30,57,0.768437640000094
"wRuns.created","OPS",27,51,0.767809355200814
"bases.on.balls","runs.batted.in",9,65,0.767228875507787
"strike.outs","home.runs",11,67,0.766857974634528
"strike.outs","runs.scored",11,66,0.766047525464744
"bases.on.balls","at.bats",9,73,0.765516364208553
"ball.fastball.ratio","wOBA",64,42,0.763123280544962
"bat.barrels","hits",46,71,0.76276995783227
"wOBA","wRuns.created",29,44,0.76209667332262
"x.wOBA","bat.barrels",52,26,0.762018988382142
"HomeRun.Flyball.ratio","slugging.perc",33,52,0.761830832068082
"caught.stealing","stolen.base",15,59,0.758611428033162
"Wins.above.replacement","wRuns.created.plus",76,41,0.758371005940035
"bat.hardHit","strike.outs",48,62,0.757228866750001
"swing.strike.perc","strikouts.plate.perc",59,55,0.757145357584859
"ball.fastball.ratio","OPS",64,51,0.756043428354063
"bases.on.balls","Games.played",9,74,0.755100073076667
"home.runs","at.bats",6,73,0.754962392078034
"x.slugging.perc","hit.hardspeed.perc",51,30,0.754478092201587
"called.swing.strikes.perc","strikouts.plate.perc",61,55,0.754375810005244
"bat.hardHit","bases.on.balls",48,64,0.754316844461889
"Wins.above.replacement","OPS",76,51,0.753442515528064
"ball.fastball.ratio","wRuns.created.plus",64,41,0.752978239714475
"wRuns.created.plus","wRuns.created",30,44,0.751765766475301
"bat.hardHit.perc","bat.barrel.perc",49,25,0.750840324355246
"Wins.above.replacement","wOBA",76,42,0.749581174551123
"wRuns.created","strike.outs",27,62,0.749334669210256
"x.slugging.perc","HomeRun.Flyball.ratio",51,36,0.749304949564397
"bat.barrel.perc","hit.hardspeed.perc",47,30,0.747358044432955
"x.slugging.perc","wOBA",51,42,0.743817494347631
"x.slugging.perc","wRuns.created.plus",51,41,0.742881660565502
"home.runs","hits",6,71,0.742523350127935
"x.wOBA","x.batting.average",52,22,0.7418740888786
"x.slugging.perc","bat.hardHit.perc",51,23,0.740786287150288
"hit.infield","hits",34,71,0.739488178471376
"wOBA","Isolated Power",29,50,0.738652702904517
"x.slugging.perc","bat.exit.velocity",51,28,0.737543646338256
"wRuns.created.plus","Isolated Power",30,50,0.737144438847098
"bases.on.balls","hits",9,71,0.736137974690596
"strike.outs","hits",11,71,0.735215788043929
"wRuns.AboveAvg","home.runs",28,67,0.733096006590431
"Wins.above.replacement","runs.batted.in",76,65,0.732631143588694
"bat.barrels","slugging.perc",46,52,0.732171512553465
"Wins.above.replacement","home.runs",76,67,0.732024265205561
"bases.on.balls","home.runs",9,67,0.731248866533689
"Batting.wOBA","home.runs",74,67,0.730786634364692
"bat.barrels","doubles",46,69,0.729850499963201
"bat.barrels","bases.on.balls",46,64,0.729725349450047
"hit.batted.ball","hit.infield",42,35,0.72951092952285
"OPS","home.runs",21,67,0.729000246099251
"ball.fastball","wOBA",62,42,0.726220565934125
"Wins.above.replacement","hits",76,71,0.725765029880246
"ball.fastball","OPS",62,51,0.72518888857559
"x.slugging.perc","wRuns.AboveAvg",51,43,0.723913031956372
"hit.batted.ball","bases.on.balls",42,64,0.723298722713062
"bat.barrels","Isolated Power",46,50,0.722027304450255
"Batting.wOBA","x.slugging.perc",74,21,0.72063695683308
"x.wOBA","wRuns.created",52,44,0.720251327351723
"hit.batted.ball","ground.into.a.doubleplay",42,60,0.718585389018344
"wRuns.created","slugging.perc",27,52,0.718567558887432
"x.wOBA","on.base.perc",52,53,0.718168942138156
"Base.Running","stolenbase.stealing.ratio",75,45,0.717763820687755
"running.speed.score","stolen.base",23,59,0.71741454977921
"ball.fastball","wRuns.created.plus",62,41,0.716882531390614
"HomeRun.Flyball.ratio","home.runs",33,67,0.716681932093102
"hit.infield","at.bats",34,73,0.715947124552083
"bat.hardHit","ground.into.a.doubleplay",48,60,0.715863982664549
"bat.barrel.perc","bat.exit.velocity",47,28,0.712774015944915
"bat.hardHit.perc","bat.max.exit.velocity",49,27,0.711279829079366
"ball.splitters.ratio","ball.splitters",69,7,0.71109906988841
"Wins.above.replacement","bat.barrels",76,26,0.710262380366866
"bat.barrel.perc","bat.barrels",47,26,0.710058085509368
"x.wOBA","home.runs",52,67,0.708427301118603
"strike.outs","doubles",11,69,0.708175923475823
"Wins.above.replacement","slugging.perc",76,52,0.706991202155011
"bat.barrels","Games.played",46,74,0.706610522689499
"ball.fastball.ratio","slugging.perc",64,52,0.705527469490673
"strike.outs","bases.on.balls",11,64,0.705356180806149
"bases.on.balls.strikeouts","BB.PA",18,56,0.704899170075683
"bat.barrels","wRuns.AboveAvg",46,43,0.701919445659404
"hit.infield","plate.appearances",34,72,0.700816896032367
"ground.into.a.doubleplay","at.bats",13,73,0.700569588823451
"Batting.wOBA","bat.barrels",74,26,0.699754932212948
"bat.barrels","hit.batted.ball",46,29,0.698445980071959
"bat.barrels","OPS",46,51,0.69691752653146
"home.runs","Games.played",6,74,0.693220432816032
"ground.into.a.doubleplay","singles",13,70,0.692923326666044
"wRuns.AboveAvg","Isolated Power",28,50,0.691537433012399
"wOBA","home.runs",29,67,0.691489610931703
"Wins.above.replacement","bat.hardHit",76,24,0.690294598263737
"ground.into.a.doubleplay","hits",13,71,0.689948646327551
"slugging.perc","batting.average",20,57,0.689180739147447
"hit.batted.ball","home.runs",42,67,0.689130209137121
"slugging.perc","runs.batted.in",20,65,0.689004069791367
"ground.into.a.doubleplay","plate.appearances",13,72,0.688917123085543
"wRuns.created.plus","home.runs",30,67,0.687609073890338
"x.wOBA","Isolated Power",52,50,0.686512906323072
"Batting.wOBA","Isolated Power",74,50,0.685279066868554
"Wins.above.replacement","doubles",76,69,0.684079581937727
"OPS","runs.batted.in",21,65,0.683611732659806
"hit.batted.ball","strike.outs",42,62,0.683524613245474
"bat.barrels","bat.max.exit.velocity",46,27,0.682059098898183
"bat.max.exit.velocity","bat.exit.velocity",44,28,0.680472544068837
"bases.on.balls","doubles",9,69,0.680107180638359
"home.runs","doubles",6,69,0.679716079460739
"hit.hardspeed.perc","Isolated Power",41,50,0.679071557440649
"Wins.above.replacement","plate.appearances",76,72,0.678996726159981
"Wins.above.replacement","bases.on.balls",76,64,0.678825547000684
"ball.fastball","slugging.perc",62,52,0.678034786606529
"hit.infield","runs.scored",34,66,0.677124342889244
"in.contact.perc","out.Contact.perc",56,16,0.67647034199258
"wRuns.created","on.base.perc",27,53,0.674501205547594
"Base.Running","stolen.base",75,59,0.674486809671089
"hit.infield","Games.played",34,74,0.67423237464914
"bat.hardHit","hit.infield",48,35,0.673488248261666
"bat.hardHit.perc","HomeRun.Flyball.ratio",49,36,0.670835321211804
"bat.barrel.perc","slugging.perc",47,52,0.670210379801149
"ball.fastball.ratio","on.base.perc",64,53,0.66820512418012
"Wins.above.replacement","x.wOBA",76,20,0.666380225390057
"OPS","runs.scored",21,66,0.666375784869014
"x.wOBA","bat.barrel.perc",52,25,0.666202361457074
"ball.fastball.ratio","wRuns.AboveAvg",64,43,0.664360003147358
"wRuns.AboveAvg","runs.scored",28,66,0.663928641472268
"bat.barrels","wOBA",46,42,0.663867729395593
"x.slugging.perc","x.batting.average",51,22,0.662502934647476
"hit.hardspeed.perc","HomeRun.Flyball.ratio",41,36,0.660149901996754
"BB.PA","bases.on.balls",17,64,0.660051425085728
"bat.barrels","wRuns.created.plus",46,41,0.659440535115314
"wOBA","runs.batted.in",29,65,0.659049860078599
"Wins.above.replacement","on.base.perc",76,53,0.65888884006108
"wOBA","runs.scored",29,66,0.658863176774642
"Wins.above.replacement","ball.fastball",76,12,0.658678836298407
"x.slugging.perc","wRuns.created",51,44,0.658376035219759
"Batting.wOBA","runs.scored",74,66,0.658184675415472
"Wins.above.replacement","at.bats",76,73,0.657918768865685
"wRuns.AboveAvg","runs.batted.in",28,65,0.657262923776993
